address;source_location;insn;indent
0x1389;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;ENDBR64;
0x138d;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;PUSH	%R15;
0x138f;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;PUSH	%R14;
0x1391;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;PUSH	%R13;
0x1393;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;PUSH	%R12;
0x1395;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;PUSH	%RBP;
0x1396;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;PUSH	%RBX;
0x1397;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;SUB	$0x38,%RSP;
0x139b;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;MOV	%RDI,%R12;
0x139e;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;MOV	%FS:0x28,%RAX;
0x13a7;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;MOV	%RAX,0x28(%RSP);
0x13ac;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;XOR	%EAX,%EAX;
0x13ae;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;MOV	(%RDI),%R15;
0x13b1;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;TEST	%R15,%R15;
0x13b4;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;JE	17ad <move_particles._omp_fn.0+0x424>;
0x13ba;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;CALL	11e0 <.plt.sec@start+0x70>;
0x13bf;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;MOVSXD	%EAX,%R13;
0x13c2;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;CALL	11b0 <.plt.sec@start+0x40>;
0x13c7;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;MOVSXD	%EAX,%RBX;
0x13ca;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;LEA	0x3(%R15),%RAX;
0x13ce;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;SHR	$0x2,%RAX;
0x13d2;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;MOV	$0,%EDX;
0x13d7;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;DIV	%R13;
0x13da;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;MOV	%RAX,%R13;
0x13dd;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;MOV	%RDX,%RCX;
0x13e0;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;CMP	%RDX,%RBX;
