function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;cats;label_name;
11;nbody3DCX;move_particles.extracted;;46.28;0.59;0.54;0.59;0.64;2.6389527320862;0.035247795283794;8;"100,0,0,0,0,0,0,0,0,0";move_particles.extracted;
1021;libiomp5.so;bool _INTERNAL8eaaea23::__kmp_wait_template<kmp_flag_64<false, true>, true, false, true>(kmp_info*, kmp_flag_64<false, true>*, void*);;34.25;0.44;0.28;0.5;0.56;8.1015148162842;0.10196873545647;7;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL8eaaea2319__kmp_wait_templateI11kmp_flag_64ILb0ELb1EELb1ELb0ELb1EEEbP8kmp_infoPT_Pv;
1065;libiomp5.so;kmp_flag_native<unsigned long long, (flag_type)1, true>::notdone_check();;5.91;0.08;0.05;0.07;0.1;1.4489790201187;0.018126538023353;8;"0,0,100,0,0,0,0,0,0,0";_ZN15kmp_flag_nativeIyL9flag_type1ELb1EE13notdone_checkEv;
1023;libiomp5.so;_INTERNAL8eaaea23::__kmp_hyper_barrier_gather(barrier_type, kmp_info*, int, int, void (*)(void*, void*), void*);;4.73;0.06;0;0.06;0.27;7.1590042114258;0.09023779630661;8;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL8eaaea2326__kmp_hyper_barrier_gatherE12barrier_typeP8kmp_infoiiPFvPvS3_ES3_;
1038;libiomp5.so;_ZN17_INTERNAL8eaaea2326__kmp_hyper_barrier_gatherE12barrier_typeP8kmp_infoiiPFvPvS3_ES3_..0;;3.4;0.04;0;0.05;0.18;5.7840585708618;0.073168106377125;7;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL8eaaea2326__kmp_hyper_barrier_gatherE12barrier_typeP8kmp_infoiiPFvPvS3_ES3_..0;
1027;libiomp5.so;_INTERNAL8eaaea23::__kmp_hyper_barrier_release(barrier_type, kmp_info*, int, int, int, void*);;1.77;0.02;0;0.02;0.06;1.9683264493942;0.024928465485573;8;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL8eaaea2327__kmp_hyper_barrier_releaseE12barrier_typeP8kmp_infoiiiPv;
1923;libiomp5.so;__kmpc_for_static_init_8u;;0.49;0.01;0;0.01;0.01;0.32611563801765;0.0040824827738106;6;"0,0,100,0,0,0,0,0,0,0";__kmpc_for_static_init_8u;
1039;libiomp5.so;__kmp_barrier;;0.39;0.01;0;0.01;0.01;0.20052181184292;0.0025819886941463;6;"0,0,100,0,0,0,0,0,0,0";__kmp_barrier;
1063;libiomp5.so;kmp_flag_native<unsigned long long, (flag_type)1, true>::done_check();;0.3;0;0.01;0.01;0.02;0.56779825687408;0.0070710671134293;2;"0,0,100,0,0,0,0,0,0,0";_ZN15kmp_flag_nativeIyL9flag_type1ELb1EE10done_checkEv;
1153;libiomp5.so;__kmpc_reduce;;0.25;0;0;0.01;0.01;0.22461494803429;0.0028867509681731;3;"0,0,100,0,0,0,0,0,0,0";__kmpc_reduce;
1116;libiomp5.so;__kmpc_for_static_fini;;0.25;0;0;0.01;0.01;0.45460313558578;0.0057735024020076;3;"0,0,100,0,0,0,0,0,0,0";__kmpc_for_static_fini;
10;nbody3DCX;move_particles_tree_reduce_20;;0.25;0;0.01;0.01;0.01;0.28720021247864;0.0035355337895453;2;"100,0,0,0,0,0,0,0,0,0";move_particles_tree_reduce_20;
1860;libiomp5.so;__kmp_fork_call;;0.2;0;0.02;0.02;0.02;0;0;1;"0,0,100,0,0,0,0,0,0,0";__kmp_fork_call;
1847;libiomp5.so;__kmp_launch_thread;;0.2;0;0;0.01;0.01;0.22417449951172;0.0028867509681731;3;"0,0,100,0,0,0,0,0,0,0";__kmp_launch_thread;
