function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;cats;label_name;
11;nbody3DCX;move_particles.extracted;;44.05;0.55;;;;;;;"100,0,0,0,0,0,0,0,0,0";move_particles.extracted;
1023;libiomp5.so;_INTERNAL8eaaea23::__kmp_hyper_barrier_gather(barrier_type, kmp_info*, int, int, void (*)(void*, void*), void*);;21.43;0.27;;;;;;;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL8eaaea2326__kmp_hyper_barrier_gatherE12barrier_typeP8kmp_infoiiPFvPvS3_ES3_;
1038;libiomp5.so;_ZN17_INTERNAL8eaaea2326__kmp_hyper_barrier_gatherE12barrier_typeP8kmp_infoiiPFvPvS3_ES3_..0;;13.89;0.18;;;;;;;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL8eaaea2326__kmp_hyper_barrier_gatherE12barrier_typeP8kmp_infoiiPFvPvS3_ES3_..0;
1027;libiomp5.so;_INTERNAL8eaaea23::__kmp_hyper_barrier_release(barrier_type, kmp_info*, int, int, int, void*);;5.16;0.06;;;;;;;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL8eaaea2327__kmp_hyper_barrier_releaseE12barrier_typeP8kmp_infoiiiPv;
1065;libiomp5.so;kmp_flag_native<unsigned long long, (flag_type)1, true>::notdone_check();;4.76;0.06;;;;;;;"0,0,100,0,0,0,0,0,0,0";_ZN15kmp_flag_nativeIyL9flag_type1ELb1EE13notdone_checkEv;
1860;libiomp5.so;__kmp_fork_call;;1.59;0.02;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmp_fork_call;
1063;libiomp5.so;kmp_flag_native<unsigned long long, (flag_type)1, true>::done_check();;1.59;0.02;;;;;;;"0,0,100,0,0,0,0,0,0,0";_ZN15kmp_flag_nativeIyL9flag_type1ELb1EE10done_checkEv;
10;nbody3DCX;move_particles_tree_reduce_20;;1.19;0.01;;;;;;;"100,0,0,0,0,0,0,0,0,0";move_particles_tree_reduce_20;
1923;libiomp5.so;__kmpc_for_static_init_8u;;0.79;0.01;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmpc_for_static_init_8u;
1861;libiomp5.so;__kmp_allocate_team;;0.79;0.01;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmp_allocate_team;
1041;libiomp5.so;__kmp_join_barrier(int);;0.79;0.01;;;;;;;"0,0,100,0,0,0,0,0,0,0";_Z18__kmp_join_barrieri;
8;nbody3DCX;move_particles;nbody.c:194-280;0.79;0.01;;;;;;;"100,0,0,0,0,0,0,0,0,0";move_particles;
2154;libiomp5.so;__kmp_task_team_setup;;0.4;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmp_task_team_setup;
1865;libiomp5.so;__kmp_internal_fork;;0.4;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmp_internal_fork;
1846;libiomp5.so;__kmp_free_team;;0.4;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmp_free_team;
1635;libiomp5.so;__kmp_acquire_ticket_lock;;0.4;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmp_acquire_ticket_lock;
1116;libiomp5.so;__kmpc_for_static_fini;;0.4;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmpc_for_static_fini;
1093;libiomp5.so;__kmpc_fork_call;;0.4;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmpc_fork_call;
1039;libiomp5.so;__kmp_barrier;;0.4;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmp_barrier;
11;ld-2.31.so;_dl_rtld_di_serinfo;;0.4;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";_dl_rtld_di_serinfo;
